opening,opening_archetype
Alapin Sicilian Defense,Alapin Sicilian
Alapin Sicilian Defense Barmen Central Exchange Endgame Variation,Alapin Sicilian
Alapin Sicilian Defense Barmen Central Exchange Line,Alapin Sicilian
Alapin Sicilian Defense Barmen Defense,Alapin Sicilian
Alapin Sicilian Defense Barmen Milner Barry Attack,Alapin Sicilian
Alapin Sicilian Defense Barmen Modern Line,Alapin Sicilian
Alapin Sicilian Defense Heidenfeld Variation,Alapin Sicilian
Alapin Sicilian Defense Sherzer Variation,Alapin Sicilian
Alapin Sicilian Defense Stoltz Attack,Alapin Sicilian
Alapin Sicilian Defense Stoltz Ivanchuk Line,Alapin Sicilian
Alekhines Defense,Alekhines Defense
Alekhines Defense Balogh Variation,Alekhines Defense
Alekhines Defense Brooklyn Everglades Variation,Alekhines Defense
Alekhines Defense Brooklyn Variation,Alekhines Defense
Alekhines Defense Buntin Gambit,Alekhines Defense
Alekhines Defense Exchange Variation,Alekhines Defense
Alekhines Defense Four Pawns Attack,Alekhines Defense
Alekhines Defense Four Pawns Cambridge Gambit,Alekhines Defense
Alekhines Defense Four Pawns Fianchetto Variation,Alekhines Defense
Alekhines Defense Four Pawns Main Line,Alekhines Defense
Alekhines Defense Four Pawns Trifunovic Variation,Alekhines Defense
Alekhines Defense Hunt Variation,Alekhines Defense
Alekhines Defense John Tracy Gambit,Alekhines Defense
Alekhines Defense Kmoch Variation,Alekhines Defense
Alekhines Defense Krejcik Variation,Alekhines Defense
Alekhines Defense Krejcik Variation Krejcik Gambit,Alekhines Defense
Alekhines Defense Maroczy Variation,Alekhines Defense
Alekhines Defense Modern Alburt Karpov Variation,Alekhines Defense
Alekhines Defense Modern Alburt Keres Variation,Alekhines Defense
Alekhines Defense Modern Alburt Variation,Alekhines Defense
Alekhines Defense Modern Larsen Haakert Variation,Alekhines Defense
Alekhines Defense Modern Larsen Variation,Alekhines Defense
Alekhines Defense Modern Main Line,Alekhines Defense
Alekhines Defense Modern Main Line Alekhine Variation,Alekhines Defense
Alekhines Defense Modern Main Line Alekhine Variation Alekhine Gambit,Alekhines Defense
Alekhines Defense Modern Main Line Flohr Variation,Alekhines Defense
Alekhines Defense Modern Main Line Panov Variation,Alekhines Defense
Alekhines Defense Modern Schmid Variation,Alekhines Defense
Alekhines Defense Modern Variation,Alekhines Defense
Alekhines Defense Mokele Mbembe Variation,Alekhines Defense
Alekhines Defense Mokele Mbembe Vavra Defense,Alekhines Defense
Alekhines Defense Normal Variation,Alekhines Defense
Alekhines Defense OSullivan Gambit,Alekhines Defense
Alekhines Defense Samisch Attack,Alekhines Defense
